18	5
0	0.2635593	0
1	0.2635593	0
2	0.2635593	0.03269901
3	0.2635593	0.013672267
4	0.2635593	0.015645816
5	0.2635593	0.015972181
6	0.2635593	0.016043886
7	0.2635593	0.016063183
8	0.2635593	0.016069466
9	0.2635593	0.016071751
10	0.2635593	0.016072776
11	0.2635593	0.016073294
12	0.2635593	0.016073566
13	0.2635593	0.016073702
14	0.2635593	0.016073751
15	0.2635593	0.01607393
16	0.2635593	0.016073859
17	0.2635593	0.01607379
0	1.413402	0
1	1.413402	0
2	1.413402	0.10404449
3	1.413402	0.072810806
4	1.413402	0.071949368
5	1.413402	0.071617823
6	1.413402	0.071509257
7	1.413402	0.071473071
8	1.413402	0.071460675
9	1.413402	0.071456288
10	1.413402	0.071454787
11	1.413402	0.07145425
12	1.413402	0.071454074
13	1.413402	0.071454017
14	1.413402	0.07145403
15	1.413402	0.071454021
16	1.413402	0.071454083
17	1.413402	0.071454059
0	3.596425	0
1	3.596425	0
2	3.596425	0.17900932
3	3.596425	0.1673651
4	3.596425	0.17019453
5	3.596425	0.17100031
6	3.596425	0.17124372
7	3.596425	0.17131592
8	3.596425	0.1713319
9	3.596425	0.17133104
10	3.596425	0.17132641
11	3.596425	0.17132195
12	3.596425	0.1713185
13	3.596425	0.17131599
14	3.596425	0.17131423
15	3.596425	0.171313
16	3.596425	0.17131215
17	3.596425	0.17131153
0	7.08582	0
1	7.08582	0
2	7.08582	0.26294505
3	7.08582	0.29946555
4	7.08582	0.32456907
5	7.08582	0.33590635
6	7.08582	0.34121557
7	7.08582	0.34380417
8	7.08582	0.34511848
9	7.08582	0.34581319
10	7.08582	0.34619522
11	7.08582	0.34641335
12	7.08582	0.34654237
13	7.08582	0.34662107
14	7.08582	0.34667054
15	7.08582	0.34670275
16	7.08582	0.34672345
17	7.08582	0.34673761
0	12.64081	0
1	12.64081	0
2	12.64081	0.34282836
3	12.64081	0.45112054
4	12.64081	0.52559142
5	12.64081	0.56848528
6	12.64081	0.59338525
7	12.64081	0.60798179
8	12.64081	0.61662493
9	12.64081	0.62179606
10	12.64081	0.62492495
11	12.64081	0.62684184
12	12.64081	0.62803299
13	12.64081	0.62878447
14	12.64081	0.62926684
15	12.64081	0.62958183
16	12.64081	0.62979157
17	12.64081	0.62993373
