# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.652290168207e-10       7.655623592048e-15       2.359864910131e-13       0.000000000000e+00       8.507645300071e-11       8.857631435572e-12      -7.426151713097e-15 
   41       1.677214411304e-10       8.316636659571e-15       2.265309702136e-13       0.000000000000e+00       8.087134816317e-11       8.445857817413e-12      -6.837427865753e-15 
   42       1.702324770865e-10       9.013178021387e-15       2.156803538030e-13       0.000000000000e+00       7.694622616655e-11       8.062361053496e-12      -6.501743852326e-15 
   43       1.727517578609e-10       9.745741319759e-15       2.035160096153e-13       0.000000000000e+00       7.325874615841e-11       7.704635980214e-12      -6.532374139763e-15 
   44       1.752840308033e-10       1.051495814584e-14       1.899938837082e-13       0.000000000000e+00       6.980323692648e-11       7.371858219794e-12      -6.879122023089e-15 
   45       1.778370620021e-10       1.132147891616e-14       1.750271544687e-13       0.000000000000e+00       6.657618128879e-11       7.062730516957e-12      -7.428399672005e-15 
   46       1.804168898986e-10       1.216592678839e-14       1.585172984697e-13       0.000000000000e+00       6.356247912624e-11       6.774597493093e-12      -8.040494622183e-15 
   47       1.830276180207e-10       1.304889668973e-14       1.403532929960e-13       0.000000000000e+00       6.073454428241e-11       6.503343834773e-12      -8.548039658874e-15 
   48       1.856714010220e-10       1.397088782805e-14       1.204334382235e-13       0.000000000000e+00       5.806079781809e-11       6.244583052965e-12      -8.801757495420e-15 
   49       1.883488817666e-10       1.493208099626e-14       9.873995858738e-14       0.000000000000e+00       5.553608609350e-11       5.997857573870e-12      -8.826513306524e-15 
   50       1.910585213473e-10       1.593249682335e-14       7.528406047640e-14       0.000000000000e+00       5.315828554354e-11       5.763447678705e-12      -8.706622581557e-15 
   51       1.937962239932e-10       1.697205255281e-14       5.008549643824e-14       0.000000000000e+00       5.091924168801e-11       5.541149222253e-12      -8.543277159874e-15 
   52       1.965551396665e-10       1.805055767725e-14       2.317292176955e-14       0.000000000000e+00       4.880434543733e-11       5.330237666817e-12      -8.455427093755e-15 
   53       1.993283292424e-10       1.916781883461e-14      -5.429413060650e-15       0.000000000000e+00       4.679712090131e-11       5.129780081361e-12      -8.549426721400e-15 
   54       2.021180190310e-10       2.032399621216e-14      -3.574642335248e-14       0.000000000000e+00       4.489534911081e-11       4.939748117092e-12      -8.816779487593e-15 
   55       2.049283819440e-10       2.151933118103e-14      -6.781831770448e-14       0.000000000000e+00       4.309835195726e-11       4.760128541924e-12      -9.211635895191e-15 
   56       2.077628075753e-10       2.275404526750e-14      -1.016881527897e-13       0.000000000000e+00       4.140213484155e-11       4.590579431036e-12      -9.679309547016e-15 
   57       2.106238248229e-10       2.402834036880e-14      -1.374020496867e-13       0.000000000000e+00       3.979917310557e-11       4.430408790563e-12      -1.015584933207e-14 
   58       2.135130245096e-10       2.534239896899e-14      -1.750094102104e-13       0.000000000000e+00       3.827819846389e-11       4.278553181295e-12      -1.056761161173e-14 
   59       2.164313747644e-10       2.669626691771e-14      -2.145488442223e-13       0.000000000000e+00       3.682730071228e-11       4.133865863538e-12      -1.084874907901e-14 
   60       2.193804284342e-10       2.808946948785e-14      -2.560016439112e-13       0.000000000000e+00       3.544455904851e-11       3.996107922282e-12      -1.099939172249e-14 
   61       2.223612598118e-10       2.952130637801e-14      -2.993278679872e-13       0.000000000000e+00       3.412950659676e-11       3.865149940283e-12      -1.104024512662e-14 
   62       2.253740337727e-10       3.099095762162e-14      -3.444794181317e-13       0.000000000000e+00       3.287993308995e-11       3.740672052703e-12      -1.099603765222e-14 
   63       2.284179417101e-10       3.249747982183e-14      -3.913997709550e-13       0.000000000000e+00       3.169178368360e-11       3.622153063049e-12      -1.089569996754e-14 
   64       2.314911374705e-10       3.403980238643e-14      -4.400237099529e-13       0.000000000000e+00       3.055905776972e-11       3.508859559106e-12      -1.077254457934e-14 
   65       2.345916525168e-10       3.561684750369e-14      -4.902914697485e-13       0.000000000000e+00       2.947546470091e-11       3.400047580454e-12      -1.065694668866e-14 
   66       2.377205105879e-10       3.722792805945e-14      -5.421952525394e-13       0.000000000000e+00       2.844002580530e-11       3.295641709517e-12      -1.055218186834e-14 
   67       2.408791600978e-10       3.887242751056e-14      -5.957421129854e-13       0.000000000000e+00       2.745248140744e-11       3.195680768929e-12      -1.045377703239e-14 
   68       2.440685171234e-10       4.054968328179e-14      -6.509405477764e-13       0.000000000000e+00       2.651158753657e-11       3.100113114214e-12      -1.035652791985e-14 
   69       2.472889287310e-10       4.225898646213e-14      -7.078006307299e-13       0.000000000000e+00       2.561506388489e-11       3.008791695226e-12      -1.025446887276e-14 
   70       2.505401363026e-10       4.399958150085e-14      -7.663341478898e-13       0.000000000000e+00       2.475954176572e-11       2.921469117581e-12      -1.014084261399e-14 
   71       2.538212388614e-10       4.577066590381e-14      -8.265547326238e-13       0.000000000000e+00       2.394051207176e-11       2.837792704096e-12      -1.000807002521e-14 
   72       2.571312763551e-10       4.757135112692e-14      -8.884688051825e-13       0.000000000000e+00       2.315348512801e-11       2.757399882535e-12      -9.850053043038e-15 
   73       2.604711906189e-10       4.940053724166e-14      -9.520460777238e-13       0.000000000000e+00       2.239784364428e-11       2.680236520714e-12      -9.669662262537e-15 
   74       2.638421762960e-10       5.125701355059e-14      -1.017243605513e-12       0.000000000000e+00       2.167363873245e-11       2.606291055539e-12      -9.472638654430e-15 
   75       2.672450720960e-10       5.313949408885e-14      -1.084014407251e-12       0.000000000000e+00       2.098041958284e-11       2.535496977846e-12      -9.265410446595e-15 
   76       2.706803382752e-10       5.504661643447e-14      -1.152307390229e-12       0.000000000000e+00       2.031720909122e-11       2.467730184390e-12      -9.055116169501e-15 
   77       2.741480341168e-10       5.697694051862e-14      -1.222067275482e-12       0.000000000000e+00       1.968247948592e-11       2.402806329839e-12      -8.849627701666e-15 
   78       2.776477954118e-10       5.892894743591e-14      -1.293234522943e-12       0.000000000000e+00       1.907412795480e-11       2.340478178759e-12      -8.657573315098e-15 
   79       2.811788119385e-10       6.090103825467e-14      -1.365745256600e-12       0.000000000000e+00       1.848945227238e-11       2.280432957612e-12      -8.488360720744e-15 
   80       2.847402713738e-10       6.289158674986e-14      -1.439536777618e-12       0.000000000000e+00       1.792582198126e-11       2.222369916800e-12      -8.349957652812e-15 
   81       2.883328293488e-10       6.489911076591e-14      -1.514565371011e-12       0.000000000000e+00       1.738287979355e-11       2.166254354837e-12      -8.241739038603e-15 
   82       2.919573547769e-10       6.692212858124e-14      -1.590791469230e-12       0.000000000000e+00       1.686067979483e-11       2.112103082104e-12      -8.160433878774e-15 
   83       2.956144724313e-10       6.895910744072e-14      -1.668174367055e-12       0.000000000000e+00       1.635901453103e-11       2.059906984399e-12      -8.102239180160e-15 
   84       2.993045490633e-10       7.100846336450e-14      -1.746672250228e-12       0.000000000000e+00       1.587740351617e-11       2.009629860289e-12      -8.062801474154e-15 
   85       3.030276795199e-10       7.306856095686e-14      -1.826242224087e-12       0.000000000000e+00       1.541508174001e-11       1.961207258479e-12      -8.037198335108e-15 
   86       3.067836728619e-10       7.513771321505e-14      -1.906840342206e-12       0.000000000000e+00       1.497098817573e-11       1.914545315174e-12      -8.019919898715e-15 
   87       3.105720384821e-10       7.721418133818e-14      -1.988421635026e-12       0.000000000000e+00       1.454375428764e-11       1.869519591438e-12      -8.004850380402e-15 
   88       3.143919722229e-10       7.929617453600e-14      -2.070940138491e-12       0.000000000000e+00       1.413169253886e-11       1.825973910560e-12      -7.985249593721e-15 
   89       3.182426665652e-10       8.138187451080e-14      -2.154347416787e-12       0.000000000000e+00       1.373319829438e-11       1.783758929750e-12      -7.955199619913e-15 
   90       3.221243272191e-10       8.346951372066e-14      -2.238587802566e-12       0.000000000000e+00       1.334805283324e-11       1.742857323747e-12      -7.914245177795e-15 
   91       3.260372911688e-10       8.555730909810e-14      -2.323602459352e-12       0.000000000000e+00       1.297630451391e-11       1.703276187752e-12      -7.863450512479e-15 
   92       3.299817078970e-10       8.764343864594e-14      -2.409330826959e-12       0.000000000000e+00       1.261786834969e-11       1.665008491766e-12      -7.804002464416e-15 
   93       3.339575303575e-10       8.972604161584e-14      -2.495710627569e-12       0.000000000000e+00       1.227252070960e-11       1.628032513235e-12      -7.737213937619e-15 
   94       3.379645059487e-10       9.180321868675e-14      -2.582677871805e-12       0.000000000000e+00       1.193989401923e-11       1.592311269674e-12      -7.664527367879e-15 
   95       3.420021674862e-10       9.387303214339e-14      -2.670166864807e-12       0.000000000000e+00       1.161947146161e-11       1.557791951306e-12      -7.587518190990e-15 
   96       3.460698241758e-10       9.593350605475e-14      -2.758110212306e-12       0.000000000000e+00       1.131058167813e-11       1.524405353694e-12      -7.507898310967e-15 
   97       3.501665525866e-10       9.798262645255e-14      -2.846438826701e-12       0.000000000000e+00       1.101239346934e-11       1.492065310372e-12      -7.427519568266e-15 
   98       3.542911876238e-10       1.000183415098e-13      -2.935081933132e-12       0.000000000000e+00       1.072391049592e-11       1.460668125484e-12      -7.348377208007e-15 
   99       3.584426128679e-10       1.020386084055e-13      -3.023968466064e-12       0.000000000000e+00       1.044419963695e-11       1.430117289109e-12      -7.272209909286e-15 
