# Table of selected thermodynamics quantities
# The following notation is used in column titles:
#         x_e = electron ionization fraction
#      -kappa = optical depth
#      kappa' = Thomson scattering rate, prime denotes conformal time derivatives
#           g = kappa' e^-kappa = visibility function 
#          Tb = baryon temperature 
#         w_b = baryon equation of state parameter 
#       c_b^2 = baryon sound speed squared 
#       tau_d = baryon drag optical depth 
#    1:scale factor a         2:z                      3:conf. time [Mpc]       4:x_e                    5:kappa' [Mpc^-1]        6:exp(-kappa)            7:g [Mpc^-1]             8:Tb [K]                 9:dTb [K]               10:w_b                   11:c_b^2                 12:tau_d              
       8.695538742499e-01       1.500150015002e-01       1.341079675521e+04       1.163693879101e+00       5.989489031659e-07       9.996644612102e-01       5.987479325758e-07       4.697318436317e-01       7.928247739832e-01       7.306915421186e-14       1.203454608819e-13       5.327878551616e-07 
       8.583569405099e-01       1.650165016502e-01       1.334940630218e+04       1.163693871425e+00       6.146769301935e-07       9.996272201826e-01       6.144477910397e-07       4.816931804231e-01       8.018193646315e-01       7.492980014024e-14       1.233661535350e-13       5.963226777157e-07 
       8.474446987033e-01       1.800180018002e-01       1.328851879723e+04       1.163693863276e+00       6.306087933411e-07       9.995893221615e-01       6.303498162849e-07       4.937891079494e-01       8.107635281589e-01       7.681138230627e-14       1.264186899159e-13       6.618185294647e-07 
       8.368064273161e-01       1.950195019502e-01       1.322813464315e+04       1.163693854622e+00       6.467444925688e-07       9.995507710922e-01       6.464539562468e-07       5.060188526996e-01       8.196570021999e-01       7.871378038393e-14       1.295028157651e-13       7.292977456665e-07 
       8.264319365237e-01       2.100210021002e-01       1.316825396955e+04       1.163693845433e+00       6.630840278332e-07       9.995115710692e-01       6.627601584105e-07       5.183816401191e-01       8.284995447252e-01       8.063687388471e-14       1.326182771204e-13       7.987821422118e-07 
       8.163115356356e-01       2.250225022502e-01       1.310887664162e+04       1.163693835677e+00       6.796273990878e-07       9.994717263240e-01       6.792683698233e-07       5.308766946095e-01       8.372909326745e-01       8.258054215757e-14       1.357648203086e-13       8.702930233374e-07 
       8.064360029035e-01       2.400240024002e-01       1.305000226905e+04       1.163693825317e+00       6.963746062820e-07       9.994312412139e-01       6.959785371062e-07       5.435032395293e-01       8.460309606639e-01       8.454466438892e-14       1.389421919362e-13       9.438511900342e-07 
       7.967965574946e-01       2.550255025503e-01       1.299163021521e+04       1.163693814317e+00       7.133256493616e-07       9.993901202114e-01       7.128906064654e-07       5.562604971932e-01       8.547194397629e-01       8.652911960261e-14       1.421501388790e-13       1.019476949076e-06 
       7.873848334515e-01       2.700270027003e-01       1.293375960641e+04       1.163693802637e+00       7.304805282679e-07       9.993483678932e-01       7.300045237023e-07       5.691475870529e-01       8.633560348386e-01       8.853377082135e-14       1.453883817956e-13       1.097190122601e-06 
       7.781928554751e-01       2.850285028503e-01       1.287638934124e+04       1.163693790234e+00       7.478392429378e-07       9.993059889298e-01       7.473202342244e-07       5.821636763471e-01       8.719405088987e-01       9.055848850110e-14       1.486566542741e-13       1.177010058147e-06 
       7.692130163859e-01       3.000300030003e-01       1.281951810005e+04       1.163693777065e+00       7.654017933029e-07       9.992629880761e-01       7.648376830547e-07       5.953082264601e-01       8.804730992785e-01       9.260318885337e-14       1.519547668945e-13       1.258955639134e-06 
       7.604380561259e-01       3.150315031503e-01       1.276314435432e+04       1.163693763082e+00       7.831681792898e-07       9.992193701616e-01       7.825568148405e-07       6.085804421835e-01       8.889536466397e-01       9.466774817501e-14       1.552824640126e-13       1.343045295676e-06 
       7.518610421836e-01       3.300330033003e-01       1.270726637614e+04       1.163693748234e+00       8.011384008191e-07       9.991751400811e-01       8.004775738628e-07       6.219795281163e-01       8.973820053520e-01       9.675204273266e-14       1.586394904033e-13       1.429297015681e-06 
       7.434753513272e-01       3.450345034503e-01       1.265188224759e+04       1.163693732468e+00       8.193124578054e-07       9.991303027865e-01       8.185999040439e-07       6.355046886654e-01       9.057580424989e-01       9.885594876263e-14       1.620255912446e-13       1.517728356187e-06 
       7.352746525480e-01       3.600360036004e-01       1.259698987002e+04       1.163693715728e+00       8.376903501566e-07       9.990848632780e-01       8.369237489555e-07       6.491551280453e-01       9.140816369437e-01       1.009793424710e-13       1.654405121010e-13       1.608356454876e-06 
