# Matter power spectrum P(k) at redshift z=0
# for k=1.04206e-05 to 5.30493 h/Mpc,
# number of wavenumbers equal to 556
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.345350234178e-02       2.461384349899e+04 
       1.358216781608e-02       2.465841365666e+04 
       1.371086956977e-02       2.470068512523e+04 
       1.383960771182e-02       2.474082815863e+04 
       1.396838237428e-02       2.477888319341e+04 
       1.409719371193e-02       2.481489200189e+04 
       1.422604190190e-02       2.484884733373e+04 
       1.435492714340e-02       2.488073451478e+04 
       1.448384965741e-02       2.491059936286e+04 
       1.461280968648e-02       2.493853026591e+04 
       1.474180749448e-02       2.496447646598e+04 
       1.487084336645e-02       2.498852895156e+04 
       1.499991760842e-02       2.501060958956e+04 
       1.512903054728e-02       2.503083977337e+04 
       1.525818253071e-02       2.504920301169e+04 
       1.538737392703e-02       2.506575220901e+04 
       1.551660512522e-02       2.508042293916e+04 
       1.564587653484e-02       2.509339043470e+04 
       1.577518858601e-02       2.510453955717e+04 
       1.590454172945e-02       2.511401151741e+04 
       1.603393643648e-02       2.512170837554e+04 
       1.616337319908e-02       2.512772688798e+04 
       1.629285252997e-02       2.513208231009e+04 
       1.642237496268e-02       2.513474228695e+04 
       1.655194105163e-02       2.513577763453e+04 
       1.668155137234e-02       2.513528559304e+04 
       1.681120652145e-02       2.513313577121e+04 
       1.694090711700e-02       2.512956263260e+04 
       1.707065379851e-02       2.512427638979e+04 
       1.720044722722e-02       2.511751754585e+04 
       1.733028808632e-02       2.510926453071e+04 
       1.746017708113e-02       2.509955747314e+04 
       1.759011493937e-02       2.508839517915e+04 
       1.772010241141e-02       2.507577434245e+04 
       1.785014027056e-02       2.506178693496e+04 
       1.798022931338e-02       2.504554815825e+04 
       1.811037035995e-02       2.502956259081e+04 
       1.824056425421e-02       2.501069212765e+04 
       1.837081186433e-02       2.499122539310e+04 
       1.850111408304e-02       2.497047107633e+04 
       1.863147182803e-02       2.494919305412e+04 
       1.876188604233e-02       2.492578569584e+04 
       1.889235769474e-02       2.490060371492e+04 
       1.902288778021e-02       2.487532420264e+04 
       1.915347732038e-02       2.484764803351e+04 
       1.928412736393e-02       2.481921051776e+04 
       1.941483898717e-02       2.478962384392e+04 
       1.954561329444e-02       2.476029038550e+04 
       1.967645141873e-02       2.472850010196e+04 
       1.980735452214e-02       2.469556342714e+04 
       1.993832379646e-02       2.466112421348e+04 
       2.006936046377e-02       2.462615716234e+04 
       2.020046577701e-02       2.458985312493e+04 
       2.033164102061e-02       2.455369493597e+04 
       2.046288751112e-02       2.451556081978e+04 
       2.059420659787e-02       2.447640386917e+04 
       2.072559966367e-02       2.443519684435e+04 
       2.085706812548e-02       2.439433597731e+04 
       2.098861343516e-02       2.435299167481e+04 
       2.112023708021e-02       2.430923380639e+04 
       2.125194058457e-02       2.426508969885e+04 
       2.138372550936e-02       2.422028195686e+04 
       2.151559345377e-02       2.417455644277e+04 
       2.164754605585e-02       2.412796071353e+04 
       2.177958499345e-02       2.408064464340e+04 
       2.191171198506e-02       2.403231713496e+04 
       2.204392879079e-02       2.398315526117e+04 
       2.217623721330e-02       2.393309738397e+04 
       2.230863909883e-02       2.388246543876e+04 
       2.244113633817e-02       2.383096043651e+04 
       2.257373086776e-02       2.377857282622e+04 
       2.270642467076e-02       2.372563656809e+04 
       2.283921977817e-02       2.367231108450e+04 
       2.297211826999e-02       2.361744397791e+04 
       2.310512227642e-02       2.356294234570e+04 
       2.323823397906e-02       2.350635256544e+04 
       2.337145561225e-02       2.344983414656e+04 
       2.350478946428e-02       2.339256440241e+04 
       2.363823787884e-02       2.333494132810e+04 
       2.377180325635e-02       2.327642698603e+04 
       2.390548805540e-02       2.321729110909e+04 
       2.403929479429e-02       2.315766018433e+04 
       2.417322605249e-02       2.309729984482e+04 
       2.430728447227e-02       2.303717558643e+04 
       2.444147276031e-02       2.297522962251e+04 
       2.457579368941e-02       2.291308968316e+04 
       2.471025010020e-02       2.285135541446e+04 
       2.484484490294e-02       2.278770767174e+04 
       2.497958107941e-02       2.272428687452e+04 
       2.511446168480e-02       2.266000622531e+04 
       2.524948984968e-02       2.259554741588e+04 
       2.538466878208e-02       2.253071920830e+04 
       2.552000176960e-02       2.246532072103e+04 
       2.565549218157e-02       2.239947910187e+04 
       2.579114347133e-02       2.233318125467e+04 
       2.592695917860e-02       2.226650265598e+04 
       2.606294293185e-02       2.219926843628e+04 
       2.619909845082e-02       2.213224484219e+04 
       2.633542954915e-02       2.206382101659e+04 
       2.647194013698e-02       2.199544190013e+04 
       2.660863422382e-02       2.192681385278e+04 
       2.674551592136e-02       2.185782385721e+04 
       2.688258944645e-02       2.178889660523e+04 
       2.701985912423e-02       2.171876294305e+04 
       2.715732939127e-02       2.164915506606e+04 
       2.729500479893e-02       2.157880166057e+04 
       2.743289001674e-02       2.150792485985e+04 
       2.757098983601e-02       2.143700027018e+04 
       2.770930917350e-02       2.136578296066e+04 
       2.784785307525e-02       2.129456533071e+04 
       2.798662672054e-02       2.122268426166e+04 
       2.812563542605e-02       2.115065547084e+04 
       2.826488465012e-02       2.107849634799e+04 
       2.840437999721e-02       2.100601324586e+04 
       2.854412722249e-02       2.093337269708e+04 
       2.868413223670e-02       2.086053061567e+04 
       2.882440111108e-02       2.078741807650e+04 
       2.896494008260e-02       2.071443152603e+04 
       2.910575555937e-02       2.064070488497e+04 
       2.924685412619e-02       2.056711470387e+04 
       2.938824255046e-02       2.049364130900e+04 
       2.952992778826e-02       2.041929464328e+04 
       2.967191699064e-02       2.034556264218e+04 
       2.981421751027e-02       2.027088874636e+04 
       2.995683690830e-02       2.019643788809e+04 
       3.009978296152e-02       2.012184557846e+04 
       3.024306366986e-02       2.004726274630e+04 
       3.038668726417e-02       1.997276916994e+04 
       3.053066221439e-02       1.989748637228e+04 
       3.067499723800e-02       1.982247642022e+04 
       3.081970130895e-02       1.974741937202e+04 
       3.096478366689e-02       1.967216506623e+04 
       3.111025382688e-02       1.959686059523e+04 
       3.125612158952e-02       1.952156336366e+04 
       3.140239705152e-02       1.944635409111e+04 
       3.154909061684e-02       1.937075128174e+04 
       3.169621300825e-02       1.929503941434e+04 
       3.184377527951e-02       1.921940826975e+04 
       3.199178882809e-02       1.914388522350e+04 
       3.214026540852e-02       1.906799634647e+04 
       3.228921714640e-02       1.899227783455e+04 
       3.243865655308e-02       1.891648120964e+04 
       3.258859654106e-02       1.884082726516e+04 
       3.273905044017e-02       1.876486125205e+04 
       3.289003201462e-02       1.868893242509e+04 
       3.304155548078e-02       1.861307790830e+04 
       3.319363552608e-02       1.853731978266e+04 
       3.334628732870e-02       1.846142673654e+04 
       3.349952657841e-02       1.838548656475e+04 
       3.365336949851e-02       1.830934778484e+04 
       3.380783286890e-02       1.823345364580e+04 
       3.396293405048e-02       1.815775192638e+04 
       3.411869101080e-02       1.808187569748e+04 
       3.427512235121e-02       1.800593537706e+04 
       3.443224733551e-02       1.792990937634e+04 
       3.459008592020e-02       1.785437318961e+04 
       3.474865878655e-02       1.777826308731e+04 
       3.490798737441e-02       1.770250266483e+04 
       3.506809391811e-02       1.762680583545e+04 
       3.522900148446e-02       1.755112662140e+04 
       3.539073401302e-02       1.747530667902e+04 
       3.555331635886e-02       1.739961662298e+04 
       3.571677433788e-02       1.732393282429e+04 
       3.588113477506e-02       1.724826469772e+04 
       3.604642555567e-02       1.717276038335e+04 
       3.621267567977e-02       1.709726693924e+04 
       3.637991532029e-02       1.702180400268e+04 
       3.654817588482e-02       1.694623132723e+04 
       3.671749008158e-02       1.687105622376e+04 
       3.688789198981e-02       1.679550588301e+04 
       3.705941713490e-02       1.672005563591e+04 
       3.723210256880e-02       1.664480463776e+04 
       3.740598695593e-02       1.656939280620e+04 
       3.758111066530e-02       1.649417286450e+04 
       3.775751586921e-02       1.641907434301e+04 
       3.793524664907e-02       1.634398671525e+04 
       3.811434910918e-02       1.626862512402e+04 
       3.829487149890e-02       1.619361515488e+04 
       3.847686434423e-02       1.611845315955e+04 
       3.866038058946e-02       1.604340274231e+04 
       3.884547574996e-02       1.596819725892e+04 
       3.903220807712e-02       1.589331832122e+04 
       3.922063873659e-02       1.581823110796e+04 
       3.941083200114e-02       1.574325827320e+04 
       3.960285545962e-02       1.566815825418e+04 
       3.979678024354e-02       1.559321056421e+04 
       3.999268127322e-02       1.551843572572e+04 
       4.019063752538e-02       1.544327670589e+04 
       4.039073232458e-02       1.536836753366e+04 
       4.059305366100e-02       1.529336317005e+04 
       4.079769453741e-02       1.521801144510e+04 
       4.100475334866e-02       1.514313753396e+04 
       4.121433429732e-02       1.506812694309e+04 
       4.142654784958e-02       1.499281666669e+04 
       4.164151123626e-02       1.491751335953e+04 
       4.185934900417e-02       1.484237002213e+04 
       4.208019362403e-02       1.476703627953e+04 
       4.230418616196e-02       1.469150941603e+04 
       4.253147702253e-02       1.461599608138e+04 
       4.276222677254e-02       1.454049932640e+04 
       4.299660705633e-02       1.446458342064e+04 
       4.323480161457e-02       1.438893921846e+04 
       4.347700742104e-02       1.431274430895e+04 
       4.372343595357e-02       1.423658182159e+04 
       4.397431461844e-02       1.416023187785e+04 
       4.422988835060e-02       1.408374572699e+04 
       4.449042141585e-02       1.400692579873e+04 
       4.475619944573e-02       1.393014872100e+04 
       4.502753174140e-02       1.385274210976e+04 
       4.530475388940e-02       1.377525187070e+04 
       4.558823074019e-02       1.369753955430e+04 
       4.587835980994e-02       1.361962423553e+04 
       4.617557517828e-02       1.354097733344e+04 
       4.648035196869e-02       1.346221504192e+04 
       4.679321151650e-02       1.338299195644e+04 
       4.711472735126e-02       1.330314522463e+04 
       4.744553214727e-02       1.322265455398e+04 
       4.778632583039e-02       1.314221867135e+04 
       4.813788507110e-02       1.306084120518e+04 
       4.850107444718e-02       1.297859874992e+04 
       4.887685962600e-02       1.289547865840e+04 
       4.926632300101e-02       1.281178964727e+04 
       4.967068232405e-02       1.272741812659e+04 
       5.009131301135e-02       1.264189882600e+04 
