# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.653255108290e-10       7.720385836328e-15       2.357942473336e-13       6.522590968651e-17       8.507645300071e-11       8.857631435572e-12      -7.426151713097e-15 
   41       1.678219951678e-10       8.384613129764e-15       2.263246560016e-13       6.853312267456e-17       8.087134816317e-11       8.445857817413e-12      -6.837427865753e-15 
   42       1.703371357284e-10       9.084439527600e-15       2.154595985388e-13       7.192345439894e-17       7.694622616655e-11       8.062361053496e-12      -6.501743852326e-15 
   43       1.728605622475e-10       9.820357732644e-15       2.032804892334e-13       7.539694406433e-17       7.325874615841e-11       7.704635980214e-12      -6.532374139763e-15 
   44       1.753970194539e-10       1.059299828547e-14       1.897433262685e-13       7.895362180086e-17       6.980323692648e-11       7.371858219794e-12      -6.879122023089e-15 
   45       1.779542710691e-10       1.140301047863e-14       1.747613459786e-13       8.259351133662e-17       6.657618128879e-11       7.062730516957e-12      -7.428399672005e-15 
   46       1.805383532085e-10       1.225101628616e-14       1.582360888896e-13       8.631663103724e-17       6.356247912624e-11       6.774597493093e-12      -8.040494622183e-15 
   47       1.831533671174e-10       1.313760939089e-14       1.400566024507e-13       9.012299393683e-17       6.073454428241e-11       6.503343834773e-12      -8.548039658874e-15 
   48       1.858014653642e-10       1.406328765922e-14       1.201212630046e-13       9.401260500374e-17       5.806079781809e-11       6.244583052965e-12      -8.801757495420e-15 
   49       1.884832894316e-10       1.502823032699e-14       9.841237598576e-14       9.798545195405e-17       5.553608609350e-11       5.997857573870e-12      -8.826513306524e-15 
   50       1.911972993747e-10       1.603245633374e-14       7.494123480748e-14       1.020415119017e-16       5.315828554354e-11       5.763447678705e-12      -8.706622581557e-15 
   51       1.939393985989e-10       1.707588113063e-14       4.972768563107e-14       1.061807537905e-16       5.091924168801e-11       5.541149222253e-12      -8.543277159874e-15 
   52       1.967027364666e-10       1.815831231216e-14       2.280048413995e-14       1.104031382835e-16       4.880434543733e-11       5.330237666817e-12      -8.455427093755e-15 
   53       1.994803733268e-10       1.927955449963e-14      -5.816013376738e-15       1.147086172941e-16       4.679712090131e-11       5.129780081361e-12      -8.549426721400e-15 
   54       2.022745345201e-10       2.043976570977e-14      -3.614661581299e-14       1.190971326883e-16       4.489534911081e-11       4.939748117092e-12      -8.816779487593e-15 
   55       2.050893919467e-10       2.163918501046e-14      -6.823142085354e-14       1.235686170565e-16       4.309835195726e-11       4.760128541924e-12      -9.211635895191e-15 
   56       2.079283342982e-10       2.287803149789e-14      -1.021133682177e-13       1.281229939219e-16       4.140213484155e-11       4.590579431036e-12      -9.679309547016e-15 
   57       2.107938896818e-10       2.415650450909e-14      -1.378384558702e-13       1.327601776148e-16       3.979917310557e-11       4.430408790563e-12      -1.015584933207e-14 
   58       2.136876482451e-10       2.547478383439e-14      -1.754559562320e-13       1.374800731478e-16       3.827819846389e-11       4.278553181295e-12      -1.056761161173e-14 
   59       2.166105771952e-10       2.683291256806e-14      -2.150043459411e-13       1.422825823903e-16       3.682730071228e-11       4.133865863538e-12      -1.084874907901e-14 
   60       2.195642270221e-10       2.823041340826e-14      -2.564647884243e-13       1.471676245525e-16       3.544455904851e-11       3.996107922282e-12      -1.099939172249e-14 
   61       2.225496691435e-10       2.966658346773e-14      -2.997972115169e-13       1.521351202455e-16       3.412950659676e-11       3.865149940283e-12      -1.104024512662e-14 
   62       2.255670653737e-10       3.114060011198e-14      -3.449533814782e-13       1.571849856865e-16       3.287993308995e-11       3.740672052703e-12      -1.099603765222e-14 
   63       2.286156038494e-10       3.265151719348e-14      -3.918766349160e-13       1.623171327868e-16       3.169178368360e-11       3.622153063049e-12      -1.089569996754e-14 
   64       2.316934349553e-10       3.419826128576e-14      -4.405016107110e-13       1.675314692407e-16       3.055905776972e-11       3.508859559106e-12      -1.077254457934e-14 
   65       2.347985863560e-10       3.577975182208e-14      -4.907683967530e-13       1.728279117513e-16       2.947546470091e-11       3.400047580454e-12      -1.065694668866e-14 
   66       2.379320772493e-10       3.739529954278e-14      -5.426690545644e-13       1.782064287675e-16       2.844002580530e-11       3.295641709517e-12      -1.055218186834e-14 
   67       2.410953510678e-10       3.904428594971e-14      -5.962104976897e-13       1.836670069828e-16       2.745248140744e-11       3.195680768929e-12      -1.045377703239e-14 
   68       2.442893185705e-10       4.072604655326e-14      -6.514010789245e-13       1.892096394433e-16       2.651158753657e-11       3.100113114214e-12      -1.035652791985e-14 
   69       2.475143211558e-10       4.243987057243e-14      -7.082507254508e-13       1.948343260038e-16       2.561506388489e-11       3.008791695226e-12      -1.025446887276e-14 
   70       2.507700941752e-10       4.418500063476e-14      -7.667710739733e-13       2.005410737836e-16       2.475954176572e-11       2.921469117581e-12      -1.014084261399e-14 
   71       2.540557302465e-10       4.596063247638e-14      -8.269756058551e-13       2.063298976222e-16       2.394051207176e-11       2.837792704096e-12      -1.000807002521e-14 
   72       2.573702629950e-10       4.776587593236e-14      -8.888705878721e-13       2.122008312898e-16       2.315348512801e-11       2.757399882535e-12      -9.850053043038e-15 
   73       2.607146295234e-10       4.959962990571e-14      -9.524255810091e-13       2.181539625961e-16       2.239784364428e-11       2.680236520714e-12      -9.669662262537e-15 
   74       2.640900200932e-10       5.146068274480e-14      -1.017597488684e-12       2.241894058757e-16       2.167363873245e-11       2.606291055539e-12      -9.472638654430e-15 
   75       2.674972689355e-10       5.334774766287e-14      -1.084339176046e-12       2.303072925203e-16       2.098041958284e-11       2.535496977846e-12      -9.265410446595e-15 
   76       2.709368317298e-10       5.525946155424e-14      -1.152599395190e-12       2.365077716806e-16       2.031720909122e-11       2.467730184390e-12      -9.055116169501e-15 
   77       2.744087630819e-10       5.719438381054e-14      -1.222322710380e-12       2.427910109670e-16       1.968247948592e-11       2.402806329839e-12      -8.849627701666e-15 
   78       2.779126940027e-10       5.915099513695e-14      -1.293449423266e-12       2.491571971515e-16       1.907412795480e-11       2.340478178759e-12      -8.657573315098e-15 
   79       2.814478093866e-10       6.112769636835e-14      -1.365915498100e-12       2.556065368693e-16       1.848945227238e-11       2.280432957612e-12      -8.488360720744e-15 
   80       2.850132923087e-10       6.312286108142e-14      -1.439658075549e-12       2.621392520612e-16       1.792582198126e-11       2.222369916800e-12      -8.349957652812e-15 
   81       2.886097953241e-10       6.513500655735e-14      -1.514633281397e-12       2.687555638493e-16       1.738287979355e-11       2.166254354837e-12      -8.241739038603e-15 
   82       2.922381847659e-10       6.716265048750e-14      -1.590801388577e-12       2.754557071287e-16       1.686067979483e-11       2.112103082104e-12      -8.160433878774e-15 
   83       2.958990829585e-10       6.920425963006e-14      -1.668121531539e-12       2.822399361717e-16       1.635901453103e-11       2.059906984399e-12      -8.102239180160e-15 
   84       2.995928543412e-10       7.125824962244e-14      -1.746551734969e-12       2.891085252320e-16       1.587740351617e-11       2.009629860289e-12      -8.062801474154e-15 
   85       3.033195915908e-10       7.332298479377e-14      -1.826048942496e-12       2.960617691487e-16       1.541508174001e-11       1.961207258479e-12      -8.037198335108e-15 
   86       3.070791017451e-10       7.539677797727e-14      -1.906569045401e-12       3.030999839504e-16       1.497098817573e-11       1.914545315174e-12      -8.019919898715e-15 
   87       3.108708923265e-10       7.747789032274e-14      -1.988066911331e-12       3.102235074592e-16       1.454375428764e-11       1.869519591438e-12      -8.004850380402e-15 
   88       3.146941574647e-10       7.956453110897e-14      -2.070496413011e-12       3.174326998945e-16       1.413169253886e-11       1.825973910560e-12      -7.985249593721e-15 
   89       3.185480874849e-10       8.165488230185e-14      -2.153808955770e-12       3.247279329891e-16       1.373319829438e-11       1.783758929750e-12      -7.955199619913e-15 
   90       3.224328835768e-10       8.374717705242e-14      -2.237948732837e-12       3.321095540619e-16       1.334805283324e-11       1.742857323747e-12      -7.914245177795e-15 
   91       3.263488774676e-10       8.583963322433e-14      -2.322856775194e-12       3.395779173959e-16       1.297630451391e-11       1.703276187752e-12      -7.863450512479e-15 
   92       3.302962132225e-10       8.793042992494e-14      -2.408472392630e-12       3.471333956506e-16       1.261786834969e-11       1.665008491766e-12      -7.804002464416e-15 
   93       3.342748382134e-10       9.001770768853e-14      -2.494733179965e-12       3.547763802945e-16       1.227252070960e-11       1.628032513235e-12      -7.737213937619e-15 
   94       3.382844940884e-10       9.209956865942e-14      -2.581575023268e-12       3.625072820364e-16       1.193989401923e-11       1.592311269674e-12      -7.664527367879e-15 
   95       3.423247077406e-10       9.417407677515e-14      -2.668932106085e-12       3.703265312577e-16       1.161947146161e-11       1.557791951306e-12      -7.587518190990e-15 
   96       3.463947822777e-10       9.623925794962e-14      -2.756736915652e-12       3.782345784442e-16       1.131058167813e-11       1.524405353694e-12      -7.507898310967e-15 
   97       3.504937879905e-10       9.829310025628e-14      -2.844920249122e-12       3.862318946183e-16       1.101239346934e-11       1.492065310372e-12      -7.427519568266e-15 
   98       3.546205533229e-10       1.003335541113e-13      -2.933411219783e-12       3.943189717705e-16       1.072391049592e-11       1.460668125484e-12      -7.348377208007e-15 
   99       3.587739553204e-10       1.023585795433e-13      -3.022138659307e-12       4.024963259912e-16       1.044419963695e-11       1.430117289109e-12      -7.272209909286e-15 
  100       3.629538574404e-10       1.043662952471e-13      -3.111035537656e-12       4.107645064377e-16       1.017312442621e-11       1.400402844094e-12      -7.199227734443e-15 
  101       3.671602884165e-10       1.063548510805e-13      -3.200035183687e-12       4.191240884457e-16       9.910706139956e-12       1.371532259148e-12      -7.129209609481e-15 
  102       3.713931492957e-10       1.083223836058e-13      -3.289069967828e-12       4.275756714014e-16       9.656896971592e-12       1.343505891441e-12      -7.061889284971e-15 
  103       3.756522080384e-10       1.102670168434e-13      -3.378071325221e-12       4.361198792066e-16       9.411577564772e-12       1.316316725692e-12      -6.996953914100e-15 
  104       3.799370941171e-10       1.121868630259e-13      -3.466969778866e-12       4.447573607432e-16       9.174554546485e-12       1.289950113258e-12      -6.934042630729e-15 
